1.14 5.36 1.57
5.36 1.57 1.56
1.57 1.56 1.18
1.56 1.18 2.56
1.18 2.56 1.12
2.56 1.12 26.1
1.12 26.1 1.02
26.1 1.02 1.25
1.02 1.25 1.04
1.25 1.04 1.25
1.04 1.25 8.66
1.25 8.66 1.5
8.66 1.5 1.35
1.5 1.35 1.04
1.35 1.04 1.64
1.04 1.64 1.54
1.64 1.54 2.94
1.54 2.94 1.45
2.94 1.45 1.92
1.45 1.92 4.35
1.92 4.35 1.14
4.35 1.14 1.2
1.14 1.2 1.94
1.2 1.94 1.0
1.94 1.0 1.45
1.0 1.45 2.65
1.45 2.65 2.85
2.65 2.85 1.71
2.85 1.71 9.91
1.71 9.91 1.74
9.91 1.74 9.19
1.74 9.19 1.76
9.19 1.76 3.52
1.76 3.52 1.13
3.52 1.13 1.18
1.13 1.18 9.31
1.18 9.31 1.33
9.31 1.33 1.1
1.33 1.1 1.37
1.1 1.37 2.52
1.37 2.52 4.7
2.52 4.7 46.66
4.7 46.66 3.89
46.66 3.89 1.17
3.89 1.17 1.52
1.17 1.52 7.21
1.52 7.21 2.58
7.21 2.58 1.45
2.58 1.45 1.0
1.45 1.0 1.91
1.0 1.91 1.01
1.91 1.01 1.1
1.01 1.1 3.13
1.1 3.13 1.07
3.13 1.07 2.86
1.07 2.86 1.23
2.86 1.23 1.59
1.23 1.59 31.66
1.59 31.66 1.15
31.66 1.15 2.56
1.15 2.56 4.22
2.56 4.22 1.12
4.22 1.12 1.61
1.12 1.61 7.41
1.61 7.41 1.14
7.41 1.14 17.11
1.14 17.11 7.96
17.11 7.96 6.6
7.96 6.6 1.21
6.6 1.21 6.11
1.21 6.11 1.0
6.11 1.0 1.15
1.0 1.15 1.22
1.15 1.22 1.0
1.22 1.0 1.49
1.0 1.49 1.57
1.49 1.57 26.08
1.57 26.08 1.23
26.08 1.23 1.62
1.23 1.62 1.25
1.62 1.25 1.29
1.25 1.29 1.16
1.29 1.16 17.22
1.16 17.22 1.38
17.22 1.38 1.58
1.38 1.58 1.75
1.58 1.75 1.84
1.75 1.84 55.06
1.84 55.06 1.25
55.06 1.25 10.02
1.25 10.02 9.48
10.02 9.48 3.62
9.48 3.62 1.0
3.62 1.0 1.06
1.0 1.06 4.79
1.06 4.79 3.83
4.79 3.83 1.63
3.83 1.63 8.69
1.63 8.69 2.33
8.69 2.33 1.48
2.33 1.48 1.71
1.48 1.71 13.87
1.71 13.87 1.0
13.87 1.0 1.54
1.0 1.54 1.05
1.54 1.05 1.26
1.05 1.26 4.97
1.26 4.97 2.83
4.97 2.83 4.51
2.83 4.51 1.04
4.51 1.04 1.01
1.04 1.01 1.02
1.01 1.02 1.97
1.02 1.97 1.0
1.97 1.0 1.46
1.0 1.46 1.87
1.46 1.87 1.23
1.87 1.23 1.11
1.23 1.11 1.07
1.11 1.07 1.07
1.07 1.07 4.74
1.07 4.74 2.61
4.74 2.61 1.04
2.61 1.04 11.3
1.04 11.3 2.84
11.3 2.84 12.56
2.84 12.56 2.47
12.56 2.47 4.03
2.47 4.03 2.56
4.03 2.56 1.56
2.56 1.56 2.9
1.56 2.9 1.08
2.9 1.08 1.02
1.08 1.02 17.17
1.02 17.17 3.24
17.17 3.24 1.67
3.24 1.67 1.72
1.67 1.72 1.81
1.72 1.81 3.33
1.81 3.33 13.09
3.33 13.09 2.86
